TX, TY, BX, BY, DX, DY, UNROLL, Mcells/s
16,8,48,24,16,8,1,1593.07
16,8,48,24,16,8,2,1369.75
16,8,48,24,16,8,3,1592.62
16,8,48,24,16,8,4,1589.79
16,8,48,24,16,8,5,1537.61
16,8,48,24,16,8,6,1304.73
16,8,48,24,16,8,7,1516.25
16,8,48,24,16,8,8,1398.98
16,8,48,24,16,8,9,1282.08
16,8,48,32,16,8,1,1619.44
16,8,48,32,16,8,2,1595.63
16,8,48,32,16,8,3,1562.23
16,8,48,32,16,8,4,1545.21
16,8,48,32,16,8,5,1291.53
16,8,48,32,16,8,6,1456.99
16,8,48,32,16,8,7,1250.95
16,8,48,32,16,8,8,1055.42
16,8,48,32,16,8,9,939.58
16,8,48,40,16,8,1,1271.22
16,8,48,40,16,8,2,1592.61
16,8,48,40,16,8,3,1288.57
16,8,48,40,16,8,4,1000.54
16,8,48,40,16,8,5,1355.79
16,8,48,40,16,8,6,1106.45
16,8,48,40,16,8,7,946.83
16,8,48,40,16,8,8,867.82
16,8,48,40,16,8,9,849.26
16,8,64,24,16,8,1,1570.34
16,8,64,24,16,8,2,1570.76
16,8,64,24,16,8,3,1543.52
16,8,64,24,16,8,4,1505.47
16,8,64,24,16,8,5,1245.16
16,8,64,24,16,8,6,1561.98
16,8,64,24,16,8,7,1351.42
16,8,64,24,16,8,8,1125.92
16,8,64,24,16,8,9,976.78
16,8,64,32,16,8,1,1641.35
16,8,64,32,16,8,2,1634.58
16,8,64,32,16,8,3,1695.35
16,8,64,32,16,8,4,1625.97
16,8,64,32,16,8,5,1385.40
16,8,64,32,16,8,6,1107.68
16,8,64,32,16,8,7,946.31
16,8,64,32,16,8,8,882.08
16,8,64,32,16,8,9,860.32
16,8,64,40,16,8,1,1638.17
16,8,64,40,16,8,2,1643.33
16,8,64,40,16,8,3,1648.01
16,8,64,40,16,8,5,1003.00
16,8,64,40,16,8,6,859.87
16,8,80,24,16,8,1,1583.32
16,8,80,24,16,8,2,1615.83
16,8,80,24,16,8,3,1621.08
16,8,80,24,16,8,4,1624.90
16,8,80,24,16,8,5,1480.51
16,8,80,24,16,8,6,1225.90
16,8,80,24,16,8,7,1023.52
16,8,80,24,16,8,8,911.74
16,8,80,24,16,8,9,870.79
16,8,80,32,16,8,1,1621.78
16,8,80,32,16,8,2,1623.61
16,8,80,32,16,8,3,1621.39
16,8,80,32,16,8,5,1020.17
16,8,80,32,16,8,6,880.19
16,8,80,32,16,8,9,831.14
16,8,80,40,16,8,1,1324.56
