TX, TY, BX, BY, DX, DY, UNROLL, Mcells/s
32,4,96,12,32,4,1,1598.15
32,4,96,12,32,4,2,1557.37
32,4,96,12,32,4,3,1559.57
32,4,96,12,32,4,4,1560.53
32,4,96,12,32,4,5,1522.15
32,4,96,12,32,4,6,1539.10
32,4,96,12,32,4,7,1538.56
32,4,96,12,32,4,8,1429.86
32,4,96,12,32,4,9,1347.19
32,4,96,16,32,4,1,1625.66
32,4,96,16,32,4,2,1480.10
32,4,96,16,32,4,3,1495.22
32,4,96,16,32,4,4,1529.11
32,4,96,16,32,4,5,1602.81
32,4,96,16,32,4,6,1543.05
32,4,96,16,32,4,7,1399.03
32,4,96,16,32,4,8,1198.80
32,4,96,16,32,4,9,1033.86
32,4,96,20,32,4,1,1606.53
32,4,96,20,32,4,2,1611.50
32,4,96,20,32,4,3,1612.51
32,4,96,20,32,4,4,1653.45
32,4,96,20,32,4,5,1564.24
32,4,96,20,32,4,6,1324.80
32,4,96,20,32,4,7,1089.69
32,4,96,20,32,4,8,949.92
32,4,96,20,32,4,9,900.05
32,4,128,12,32,4,1,1561.59
32,4,128,12,32,4,2,1542.09
32,4,128,12,32,4,3,1564.73
32,4,128,12,32,4,4,1543.74
32,4,128,12,32,4,5,1669.64
32,4,128,12,32,4,6,1636.89
32,4,128,12,32,4,7,1497.45
32,4,128,12,32,4,8,1269.33
32,4,128,12,32,4,9,1071.24
32,4,128,16,32,4,1,1615.23
32,4,128,16,32,4,2,1614.90
32,4,128,16,32,4,3,1614.93
32,4,128,16,32,4,4,1690.52
32,4,128,16,32,4,5,1545.85
32,4,128,16,32,4,6,1269.91
32,4,128,16,32,4,7,1047.38
32,4,128,16,32,4,8,931.88
32,4,128,16,32,4,9,887.89
32,4,128,20,32,4,1,1637.62
32,4,128,20,32,4,2,1639.42
32,4,128,20,32,4,3,1687.38
32,4,128,20,32,4,5,1150.09
32,4,160,12,32,4,1,1567.92
32,4,160,12,32,4,2,1566.45
32,4,160,12,32,4,3,1569.60
32,4,160,12,32,4,4,1649.11
32,4,160,12,32,4,5,1578.61
32,4,160,12,32,4,6,1342.54
32,4,160,12,32,4,7,1097.28
32,4,160,12,32,4,8,942.50
32,4,160,12,32,4,9,883.26
32,4,160,16,32,4,1,1618.93
32,4,160,16,32,4,2,1606.84
32,4,160,16,32,4,3,1644.39
32,4,160,16,32,4,5,1163.22
32,4,160,16,32,4,6,953.86
