TX, TY, BX, BY, DX, DY, UNROLL, Mcells/s
32,16,32,16,32,16,1,1476.60
32,16,32,16,32,16,2,1288.56
32,16,32,16,32,16,3,1389.95
32,16,32,16,32,16,4,1315.26
32,16,32,16,32,16,5,957.80
32,16,32,16,32,16,6,907.27
32,16,32,16,32,16,7,963.59
32,16,32,16,32,16,8,1028.25
32,16,32,16,32,16,9,995.79
32,16,32,32,32,16,1,1613.43
32,16,32,32,32,16,2,1280.46
32,16,32,32,32,16,3,1291.46
32,16,32,32,32,16,4,1341.11
32,16,32,32,32,16,5,1199.27
32,16,32,32,32,16,6,1345.43
32,16,32,32,32,16,7,1347.50
32,16,32,32,32,16,8,1336.15
32,16,32,32,32,16,9,1290.50
32,16,32,48,32,16,1,1630.67
32,16,32,48,32,16,2,1318.84
32,16,32,48,32,16,3,1391.70
32,16,32,48,32,16,4,1391.90
32,16,32,48,32,16,5,1490.24
32,16,32,48,32,16,6,1467.67
32,16,32,48,32,16,7,1441.05
32,16,32,48,32,16,8,1422.38
32,16,64,16,32,16,1,1581.12
32,16,64,16,32,16,2,1455.30
32,16,64,16,32,16,3,1622.31
32,16,64,16,32,16,4,1308.66
32,16,64,16,32,16,5,1139.48
32,16,64,16,32,16,6,1278.56
32,16,64,16,32,16,7,1232.05
32,16,64,16,32,16,8,1022.22
32,16,64,16,32,16,9,1357.47
32,16,64,32,32,16,1,1234.30
32,16,64,32,32,16,2,1431.10
32,16,64,32,32,16,3,1648.23
32,16,64,32,32,16,4,1646.29
32,16,64,32,32,16,5,1434.32
32,16,64,32,32,16,6,1308.39
32,16,64,48,32,16,1,1670.57
32,16,64,48,32,16,2,1538.85
32,16,64,48,32,16,3,1700.51
32,16,64,48,32,16,4,1485.65
32,16,96,16,32,16,1,1564.33
32,16,96,16,32,16,2,1443.78
32,16,96,16,32,16,3,1297.35
32,16,96,16,32,16,4,1110.99
32,16,96,16,32,16,5,1325.96
32,16,96,16,32,16,6,1192.10
32,16,96,16,32,16,7,1413.60
32,16,96,16,32,16,8,1399.86
32,16,96,16,32,16,9,1387.93
32,16,96,32,32,16,1,1398.67
32,16,96,32,32,16,2,1656.32
32,16,96,32,32,16,3,1644.47
32,16,96,32,32,16,4,1633.95
32,16,96,48,32,16,1,1612.49
32,16,96,48,32,16,2,1573.24
