TX, TY, BX, BY, DX, DY, UNROLL, Mcells/s
16,16,16,16,16,16,1,1310.96
16,16,16,16,16,16,2,1295.17
16,16,16,16,16,16,3,1338.76
16,16,16,16,16,16,4,1406.16
16,16,16,16,16,16,5,1217.24
16,16,16,16,16,16,6,1160.86
16,16,16,16,16,16,7,1181.81
16,16,16,16,16,16,8,1054.87
16,16,16,16,16,16,9,1018.01
16,16,16,32,16,16,1,1350.41
16,16,16,32,16,16,2,1462.29
16,16,16,32,16,16,3,1398.54
16,16,16,32,16,16,4,1346.74
16,16,16,32,16,16,5,1172.76
16,16,16,32,16,16,6,1364.03
16,16,16,32,16,16,7,1369.03
16,16,16,32,16,16,8,1351.44
16,16,16,32,16,16,9,1278.62
16,16,16,48,16,16,1,1531.02
16,16,16,48,16,16,2,1460.74
16,16,16,48,16,16,3,1353.26
16,16,16,48,16,16,4,1334.16
16,16,16,48,16,16,5,1354.69
16,16,16,48,16,16,6,1375.20
16,16,16,48,16,16,7,1410.98
16,16,16,48,16,16,8,1344.02
16,16,16,48,16,16,9,1026.23
16,16,16,64,16,16,1,1250.40
16,16,16,64,16,16,2,1352.41
16,16,16,64,16,16,3,1316.04
16,16,16,64,16,16,4,1316.53
16,16,16,64,16,16,5,1318.73
16,16,16,64,16,16,6,1342.61
16,16,16,64,16,16,7,1104.26
16,16,16,64,16,16,8,1102.11
16,16,16,64,16,16,9,1100.77
16,16,32,16,16,16,1,1547.08
16,16,32,16,16,16,2,1194.89
16,16,32,16,16,16,3,1527.14
16,16,32,16,16,16,4,1147.16
16,16,32,16,16,16,5,1334.95
16,16,32,16,16,16,6,1287.63
16,16,32,16,16,16,7,1262.36
16,16,32,16,16,16,8,909.92
16,16,32,16,16,16,9,1428.80
16,16,32,32,16,16,1,951.36
16,16,32,32,16,16,2,1293.27
16,16,32,32,16,16,3,1595.74
16,16,32,32,16,16,4,1578.95
16,16,32,32,16,16,5,1305.43
16,16,32,32,16,16,6,1201.56
16,16,32,32,16,16,7,1323.24
16,16,32,32,16,16,8,1313.72
16,16,32,32,16,16,9,1313.51
16,16,32,48,16,16,1,1630.84
16,16,32,48,16,16,2,1378.83
16,16,32,48,16,16,3,1600.45
16,16,32,48,16,16,4,1283.74
16,16,32,48,16,16,5,1438.13
16,16,32,48,16,16,6,1427.34
16,16,32,48,16,16,7,1419.61
16,16,32,48,16,16,8,1280.38
16,16,32,48,16,16,9,1274.34
16,16,32,64,16,16,1,1592.29
16,16,32,64,16,16,2,1614.80
16,16,32,64,16,16,3,1504.15
16,16,32,64,16,16,4,1588.65
16,16,32,64,16,16,5,1580.55
16,16,32,64,16,16,6,1255.05
16,16,32,64,16,16,7,1492.92
16,16,32,64,16,16,8,1422.67
16,16,32,64,16,16,9,1338.23
16,16,48,16,16,16,1,1428.19
16,16,48,16,16,16,2,1258.13
16,16,48,16,16,16,3,1590.25
16,16,48,16,16,16,4,1261.81
16,16,48,16,16,16,5,1332.79
16,16,48,16,16,16,6,1144.14
16,16,48,16,16,16,7,1487.93
16,16,48,16,16,16,8,1446.51
16,16,48,16,16,16,9,1419.01
16,16,48,32,16,16,1,1261.87
16,16,48,32,16,16,2,1616.25
16,16,48,32,16,16,3,1608.75
16,16,48,32,16,16,4,1605.15
16,16,48,32,16,16,5,1458.42
16,16,48,32,16,16,6,1445.85
16,16,48,32,16,16,7,1326.97
16,16,48,32,16,16,8,1245.11
16,16,48,32,16,16,9,1216.34
16,16,48,48,16,16,1,1444.08
16,16,48,48,16,16,2,1391.43
16,16,48,48,16,16,3,1546.44
16,16,48,48,16,16,4,1492.26
16,16,48,48,16,16,5,1339.50
16,16,48,48,16,16,6,1143.41
16,16,48,48,16,16,7,1482.84
16,16,48,48,16,16,8,1356.72
16,16,48,48,16,16,9,1244.46
16,16,48,64,16,16,1,1661.51
16,16,48,64,16,16,2,1551.44
16,16,48,64,16,16,3,1363.64
16,16,48,64,16,16,4,1440.88
16,16,48,64,16,16,5,1414.96
16,16,48,64,16,16,6,1139.11
16,16,48,64,16,16,7,1206.19
16,16,48,64,16,16,8,1016.51
16,16,48,64,16,16,9,923.74
16,16,64,16,16,16,1,1406.63
16,16,64,16,16,16,2,1515.79
16,16,64,16,16,16,3,1362.93
16,16,64,16,16,16,4,1441.54
16,16,64,16,16,16,5,1228.83
16,16,64,16,16,16,6,1470.06
16,16,64,16,16,16,7,1449.10
16,16,64,16,16,16,8,1458.95
16,16,64,16,16,16,9,1479.51
16,16,64,32,16,16,1,1526.25
16,16,64,32,16,16,2,1592.35
16,16,64,32,16,16,3,1580.87
16,16,64,32,16,16,4,1482.82
16,16,64,32,16,16,5,1369.52
16,16,64,32,16,16,6,1278.20
16,16,64,32,16,16,7,1543.01
16,16,64,32,16,16,8,1471.48
16,16,64,32,16,16,9,1383.60
16,16,64,48,16,16,1,1586.43
16,16,64,48,16,16,2,1507.15
16,16,64,48,16,16,3,1457.30
16,16,64,48,16,16,4,1355.16
16,16,64,48,16,16,5,1252.93
16,16,64,48,16,16,6,1130.27
16,16,64,48,16,16,7,1238.37
16,16,64,48,16,16,8,1059.90
16,16,64,48,16,16,9,948.25
16,16,64,64,16,16,1,1127.70
16,16,64,64,16,16,2,1705.26
16,16,64,64,16,16,3,1706.85
16,16,64,64,16,16,4,1563.83
16,16,64,64,16,16,5,1287.64
16,16,64,64,16,16,6,1040.24
16,16,64,64,16,16,7,903.30
16,16,64,64,16,16,8,854.05
16,16,64,64,16,16,9,843.41
